zh,en
天哪，我希望不是。 今天早上我得去拜访她。,I should hope not.
"Gosh, I hope not. I've got to call on her this morning.",I've got to call on her this morning.
-你说什么？ ——确定。,- You what?
- You what? - Sure.,- Sure.
我得顺便去看看那丫头。 她的伤口需要抚慰。 I must drop in and see the wench.,I must drop in and see the wench.
Her wounds need soothing.,Her wounds need soothing.
"看在上帝的份上，斯图，你们是不是完全疯了？ For heaven's sake, Stew, are you completely bats?","For heaven's sake, Stew, are you completely bats?"
我觉得那个故事太冷酷了。 你不能回去。,I thought that story was cold.
I thought that story was cold. You can't go back.,You can't go back.
当然，故事很冷，但我不冷。 我的滋滋声。 看。,"Sure, the story's cold, but I'm not."
"Sure, the story's cold, but I'm not.",I'm sizzling.
I'm sizzling.,Look.
黎明来临了。 黎明来临了。,Came the dawn.
Came the dawn. Came the dawn.,Came the dawn.
随之而来的是爱情。 And with it came love.,And with it came love.
"加拉格，你得见见她。 她的。 Gallagher, you've got to meet her.","Gallagher, you've got to meet her."
She's it.,She's it.
-还有那个。 -还有那些和他们。,- And that.
- And that. - And those and them.,- And those and them.
我看过她的照片。 我觉得她没那么性感。,"Well, I've seen her pictures."
"Well, I've seen her pictures. I don't think she's so hot.",I don't think she's so hot.
你不欣赏她。 照片不像她。 她是高贵的。,You don't appreciate her.
You don't appreciate her. Pictures don't do her justice.,Pictures don't do her justice.
She's queenly.,She's queenly.
"她是女王，我了解女王。 She is queenly, and I know queens.","She is queenly, and I know queens."
她有自己的鼻子吗？ 我也知道鼻子。 And has she got herself a nose!,And has she got herself a nose!
And I know noses too.,And I know noses too.
"我告诉你，她的小鼻子是浆果。 That little schnozzle of hers is the berries, I tell you.","That little schnozzle of hers is the berries, I tell you."
"当然，我没有鼻子。 Of course, I haven't got a nose.","Of course, I haven't got a nose."
"你是有鼻子，加拉格尔，但那不一样。 Sure, you got a nose, Gallagher, but that's different.","Sure, you got a nose, Gallagher, but that's different."
女人不一样，加拉格尔。 大家知道... ...,"Women are different, Gallagher."
"比如酿酒厂的马和纯种马。 Women are different, Gallagher. You know...",You know like brewery horses and thoroughbreds.
like brewery horses and thoroughbreds. 斯图，我不会对她太苛刻。 我不会叫她啤酒马。,"Stew, I wouldn't be too hard on her."
"Stew, I wouldn't be too hard on her. I wouldn't call her a brewery horse.",I wouldn't call her a brewery horse.
"加拉格，她才是真命天子。 Gallagher, she's the real McCoy.","Gallagher, she's the real McCoy."
而我们其余的人都是卡车马。 And the rest of us are truck horses.,And the rest of us are truck horses.
"又来了，说话像个女人。 There you go, talking like a woman.","There you go, talking like a woman."
——好吗?,- Well?
"-你是我的朋友，不是吗？ - Well? - Well, you're my pal, aren't you?","- Well, you're my pal, aren't you?"
那就别对我变女人。 Then don't turn female on me.,Then don't turn female on me.
"付钱，好吗，加拉格尔？ 有时间我会还给你的。 Pay that check, will you, Gallagher?","Pay that check, will you, Gallagher?"
I'll give it back to you sometime.,I'll give it back to you sometime.
也许吧。 Maybe.,Maybe.
我走了。,I go.
我和康拉德去追寻我的青春。 I go. I go with Conrad in quest of my youth.,I go with Conrad in quest of my youth.
"把那些西红柿煎一下，好吗，加拉格尔？ Fry those tomatoes, will you, Gallagher?","Fry those tomatoes, will you, Gallagher?"
好了，好了，吉夫斯。 好了，吉夫斯，这样好吗？,"Now, now, Jeeves."
"Now, now, Jeeves. Now, Jeeves, was that nice?","Now, Jeeves, was that nice?"
"这是绅士的风度吗，吉夫斯？ Was that being a gentleman, Jeeves?","Was that being a gentleman, Jeeves?"
"-你的名字是吉夫斯，对吗？ -我叫斯迈思。 - Your name is Jeeves, isn't it?","- Your name is Jeeves, isn't it?"
- The name is Smythe.,- The name is Smythe.
Smythe吗?,Smythe?
"好吧，好吧，好吧。 Smythe? Well, well, well.","Well, well, well."
有个Y，是吧？ 祝贺你。,"With a Y, huh?"
"With a Y, huh? Congratulations.",Congratulations.
世界真小。 穿着制服的兄弟。,What a small world.
What a small world. Brothers under livery.,Brothers under livery.
-史密斯对斯迈思说 -斯凯勒太太不在家,"- Now, as Smith to Smythe..."
"- Now, as Smith to Smythe - -",- Mrs. Schuyler is not at home.
Schuyler is not at home. 我知道。,I know.
我知道。,I know.
我在外面一直等到她出去。 I know. I know.,I waited outside until she went out.
I waited outside until she went out. 她是个好女人。 她很好，但我们在一起不太合得来。,She's a nice lady.
"She's a nice lady. She's all right, but we don't vibrate well together.","She's all right, but we don't vibrate well together."
"没人在家，先生。 No one's at home, sir.","No one's at home, sir."
"吉夫斯，你觉得这叫无名小卒吗？ Now, Jeeves, would you call this no one?","Now, Jeeves, would you call this no one?"
怎么了? What's wrong?,What's wrong?
斯凯勒太太下了命令，小姐，如果这个人再来... ...-... 我要报警。,"Mrs. Schuyler left orders, miss, that if this person came again..."
"Schuyler left orders, miss, that if this person came again...",- ...
- ... I was to call the police.,I was to call the police.
- That's a good idea.,- That's a good idea.
给警察打电话。 号码是Spring 3100。,Telephone the police.
Telephone the police. The number is Spring 3100.,The number is Spring 3100.
"叫几个警察过来，我们就有橡胶桥了。 Get a couple of cops over, and we'll have a rubber of bridge.","Get a couple of cops over, and we'll have a rubber of bridge."
-你可以走了，斯迈思。,"- You may go, Smythe."
-但我现在，那位女士说你可以走了,- But I...
"- You may go, Smythe. - But I -","Now, the lady said you may go."
"- Now, the lady said you may go. -你想要什么？ -我告诉你。",- What do you want?
"- What do you want? - Well, I tell you.","- Well, I tell you."
"我在这里的时候，手里拿着你的一本书。 When I was here, I had one of your books in my hand.","When I was here, I had one of your books in my hand."
今天早上，我把你的书放在我手里... ... 你手里拿着你的书。,"This morning, I put your book in my hand and here's your book in your hand."
and here's your book in your hand. -你真体贴。 -是的。,- That's considerate of you.
- That's considerate of you.,- It was.
- It was. I recommend you read that.,I recommend you read that.
我对你的文学推荐不感兴趣。 I'm not interested in your literary recommendations.,I'm not interested in your literary recommendations.
也许对你来说太重了。 Perhaps it would be too heavy for you.,Perhaps it would be too heavy for you.
如果你想要更轻松的，带点浪漫的东西... ... 听听这个。,"If you'd like something lighter, something with a touch of romance just listen to this."
"""可爱的宝贝，她想念她的孩子吗？"" ""Adorable Babykins, does her miss her baby?","""Adorable Babykins, does her miss her baby?"""
"-波波太孤独了。"" -请稍等。","- ""Bobo is so lonely."""
"- Bobo is so lonely."" - Just a moment.",- Just a moment.
我不明白那个垃圾桶跟我有什么关系。 I don't see how that trash can possibly concern me.,I don't see how that trash can possibly concern me.
但你不知道波波是谁。 你也不知道Babykins是谁。,But you don't know who Bobo is.
But you don't know who Bobo is. And you don't know who Babykins is.,And you don't know who Babykins is.
我不感兴趣。 斯迈思会打开门。,I'm not interested.
I'm not interested. Smythe will open the door.,Smythe will open the door.
斯迈思会开门但波波是你哥哥迈克尔。,Smythe will open...
Smythe will open - - But Bobo is your brother Michael.,But Bobo is your brother Michael.
当然没人会猜到Babykins是谁。 And of course nobody would ever guess who Babykins is.,And of course nobody would ever guess who Babykins is.
你从哪儿弄来这些信的？ Where did you get those letters?,Where did you get those letters?
我在采访Babykins采访波波的时候偷的。 I stole them when I was interviewing Babykins about Bobo.,I stole them when I was interviewing Babykins about Bobo.
我想你会把它们印出来吧？ I suppose you're going to print them?,I suppose you're going to print them?
不。,No.
再给你一次机会。 No. Give you another guess.,Give you another guess.
我不需要再猜了。 I don't need another guess.,I don't need another guess.
-很明显。 -很明显吧？ - It's quite obvious.,- It's quite obvious.
"- It's obvious, huh?","- It's obvious, huh?"
你会走进图书馆吗？ Will you step into the library?,Will you step into the library?
确定。,Sure.
我要碰碰运气。 Sure. I'll take a chance.,I'll take a chance.
"你知道吗，印第安人以前是这样走路的。 You know, the Indians used to walk like this.","You know, the Indians used to walk like this."
除了那个女人总是走在后面。 Except the squaw always walked in the back.,Except the squaw always walked in the back.
你知道为什么吗？ You know why that was?,You know why that was?
这是为了防止来自前线的攻击。 That was in case of an attack from the front.,That was in case of an attack from the front.
"是的，教皇一直都有弓箭。 Yes, papooses always had bows and arrows.","Yes, papooses always had bows and arrows."
当然，如果她没有结婚，那她就得保护自己的... ... 这个图书馆在哪个国家？,"Of course, if she wasn't married, then she had to protect her own..."
"斯凯勒小姐，乘车回前门怎么样？ Miss Schuyler, how about carfare back to the front door?","Miss Schuyler, how about carfare back to the front door?"
"姓名的首字母是什么，先生？ What are the initials, Mr...","What are the initials, Mr...?"
? 史密斯，斯图尔特·史密斯。 我的朋友都叫我炖肉。,"Smith, Stewart Smith."
"Smith, Stewart Smith. My friends all call me Stew.",My friends all call me Stew.
